Rec,Inf,UID,Name,Nat,2nd Nat,Age,Position,Club,Division,Wage,Mins,Height,Weight,Loan Expires,Expires,Min WD,Max AP,Max WD,Min AP,NP-xG/90,NP-xG,xGP/90,Clr/90,Int/90,Tck/90,Tck R,Tck W,Blk/90,Hdr %,Hdrs W/90,Poss Won/90,Pres A/90,Poss Lost/90,Pas %,Ps C/90,Pr passes/90,Asts/90,xA/90,Cr C/90,Drb/90,Shot %,Shot/90,ShT/90,xG/90,xG-OP,Gls/90,xG,Sprints/90
- - -,,29036351,Will Hatfield,ENG,,32,"DM, M (C)",Darlington,Vanarama National League North,â¬575 p/w,3801,"5'8""",64 kg,-,30/6/2025,,-,,-,0.07,2.87,-,1.7,1.28,2.39,75%,101,0.45,34%,1.21,8.45,12.24,9.99,86%,46.57,4.88,0.28,0.14,0.73,0.50,31%,1.40,0.43,0.07,1.13,0.09,2.87,12.41
- - -,Lst,94044706,Ryan Hill,ENG,,26,AM (RC),Dag & Red,Vanarama National League,â¬875 p/w,1667,"5'10""",73 kg,-,30/6/2025,,-,,-,0.11,2.01,-,0.76,2.11,1.19,85%,22,0.38,34%,2.16,5.18,9.99,15.28,86%,29.05,2.92,0.22,0.28,0.65,2.16,35%,1.40,0.49,0.11,-0.01,0.11,2.01,12.47
- - -,Inj,29159021,Luke Russe,ENG,,24,"DM, M (C)",Bath City,Vanarama National League South,â¬575 p/w,2474,"5'9""",67 kg,-,30/6/2026,,-,,-,0.07,1.93,-,1.16,1.42,2.18,72%,60,0.33,34%,1.09,13.17,10.26,9.28,90%,44.64,3.49,0.04,0.05,0.11,0.51,19%,0.76,0.15,0.07,0.07,0.07,1.93,9.35
- - -,,2000060514,Jason Adigun,ENG,NGA,20,M/AM (C),Hemel Hempstead,Vanarama National League South,â¬400 p/w,3331,"6'6""",86 kg,29/6/2024,30/6/2025,,-,,-,0.19,6.85,-,1.0,1.49,1.3,71%,48,0.38,34%,1.54,9.94,9.97,14.48,86%,38.42,3.67,0.19,0.23,0.38,1.35,34%,1.43,0.49,0.19,-2.85,0.11,6.85,7.86
- - -,,29159555,Cameron Hargreaves,ENG,,25,M (C),King's Lynn,Vanarama National League North,â¬825 p/w,2655,"5'10""",65 kg,-,30/6/2024,,-,,-,0.08,2.38,-,1.36,1.42,2.1,68%,62,0.61,33%,1.53,8.92,10.61,8.24,87%,42.58,3.53,0.17,0.09,0.14,1.15,26%,0.92,0.24,0.08,1.62,0.14,2.38,8.71
- - -,,29073347,Miles Storey,ENG,,30,"AM (L), ST (C)",Curzon Ashton,Vanarama National League North,â¬350 p/w,3121,"5'11""",70 kg,-,30/6/2024,,-,,-,0.16,5.64,-,0.95,2.19,2.28,82%,79,0.49,33%,3.00,7.99,11.39,12.69,83%,27.31,1.99,0.23,0.25,0.81,2.88,53%,1.41,0.75,0.16,2.36,0.23,5.64,10.5
- - -,,29219102,Ken Charles,ENG,,23,ST (C),Banbury,Vanarama National League North,â¬230 p/w,3858,"6'0""",76 kg,-,30/6/2024,,-,,-,0.43,18.3,-,0.54,1.14,1.0,80%,43,0.16,33%,5.06,4.55,6.18,9.19,84%,22.07,0.42,0.14,0.15,1.05,1.47,40%,3.10,1.24,0.52,-3.25,0.44,22.25,5.53
- - -,,31042299,Jess Norey,ENG,,22,M (C),Warrington,Vanarama National League North,â¬180 p/w,1989,"5'9""",70 kg,29/6/2024,30/6/2024,,-,,-,0.06,1.33,-,2.44,1.13,2.35,76%,52,0.32,33%,1.31,7.92,12.26,7.74,83%,31.09,2.71,0.09,0.05,0.05,0.36,40%,0.90,0.36,0.06,0.67,0.09,1.33,5.7
- - -,Wnt,29237705,Caleb Chukwuemeka,ENG,NGA,22,ST (C),King's Lynn,Vanarama National League North,â¬925 p/w,3577,"6'3""",85 kg,-,30/6/2024,,-,,-,0.38,14.92,-,1.03,1.23,1.06,78%,42,0.23,32%,4.55,4.63,4.35,6.89,85%,20.2,0.65,0.05,0.02,0.03,1.13,48%,2.69,1.28,0.52,7.52,0.70,20.48,3.52
- - -,,28049717,Lawson D'Ath,ENG,,31,M (C),Banbury,Vanarama National League North,â¬325 p/w,3358,"5'9""",75 kg,-,30/6/2025,,-,,-,0.1,3.6,-,1.23,1.34,1.55,76%,58,0.32,32%,1.10,5.39,12.49,11.26,85%,38.35,4.1,0.13,0.18,0.86,2.22,33%,1.39,0.46,0.12,-1.39,0.08,4.39,7.1
- - -,,67293765,Cedric Main,NED,SUR,26,"AM (L), ST (C)",Darlington,Vanarama National League North,â¬575 p/w,2700,"5'11""",80 kg,-,30/6/2025,,-,,-,0.33,9.88,-,0.67,1.00,1.07,67%,32,0.13,32%,4.63,4.73,6.73,7.93,84%,20.07,0.63,0.03,0.05,0.10,1.03,61%,2.23,1.37,0.33,-1.88,0.27,9.88,8.97
- - -,Wnt,28083240,Jamie Allen,MSR,ENG,29,AM (R),Curzon Ashton,Vanarama National League North,â¬300 p/w,2553,"5'9""",69 kg,-,30/6/2024,,-,,-,0.15,4.25,-,1.48,2.04,1.97,70%,56,0.60,32%,2.04,7.51,8.25,11.77,85%,28.34,2.01,0.25,0.16,0.71,3.10,55%,1.34,0.74,0.15,0.75,0.18,4.25,7.47
- - -,,28115924,Christian Norton,WAL,ENG,23,ST (C),Chester,Vanarama National League North,â¬475 p/w,4052,"5'10""",72 kg,-,30/6/2024,,-,,-,0.42,18.69,-,1.09,1.07,2.24,83%,101,0.09,32%,3.89,5.93,7.69,8.62,89%,29.03,1.22,0.16,0.12,0.27,1.84,46%,2.78,1.27,0.43,3.51,0.51,19.49,6.86
- - -,Wnt,29243569,Harry Parsons,ENG,,21,ST (C),Aveley,Vanarama National League South,,1150,"6'2""",82 kg,30/6/2024,-,,-,,-,0.09,1.18,-,0.39,1.49,0.78,83%,10,-,32%,3.91,1.41,6.34,19.25,84%,19.49,0.55,-,0.03,0.08,1.02,54%,1.02,0.55,0.09,2.82,0.31,1.18,6.18
- - -,,2000106594,Jerry Lawrence,ENG,,19,"DM, M (C)",Weymouth,Vanarama National League South,â¬475 p/w,2647,"5'7""",60 kg,29/6/2024,30/6/2026,,-,,-,0.08,2.25,-,1.26,1.60,1.16,69%,34,0.54,32%,1.09,16.9,9.21,8.02,87%,44.4,3.88,0.20,0.2,0.14,0.31,21%,0.65,0.14,0.08,-2.25,-,2.25,8.98
- - -,,29218009,Jimmy Knowles,ENG,,23,ST (C),Boston Utd,Vanarama National League North,â¬775 p/w,3622,"6'0""",70 kg,-,30/6/2025,,-,,-,0.48,19.32,-,0.55,0.82,1.04,75%,42,0.12,31%,3.75,5.02,8.1,7.88,88%,26.44,1.81,0.30,0.2,0.40,1.22,50%,3.13,1.57,0.58,-0.3,0.57,23.3,8.55
- - -,,2000053517,Harrison Wood,ENG,,19,AM (LC),Brackley,Vanarama National League North,"â¬1,000 p/w",2847,"6'0""",62 kg,29/6/2024,30/6/2025,,-,,-,0.24,7.46,-,1.39,1.83,1.17,80%,37,0.44,31%,2.56,6.26,7.56,8.95,87%,29.65,2.15,0.19,0.1,0.22,1.52,39%,2.12,0.82,0.26,1.75,0.32,8.25,10.02
- - -,,95034574,Louis McGrory,ENG,,26,"D (R), DM, M (C)",Gloucester,Vanarama National League North,â¬230 p/w,2047,"5'9""",70 kg,-,30/6/2025,,-,,-,0.08,1.85,-,1.49,1.63,2.68,75%,61,0.35,31%,1.23,8.0,11.12,8.18,88%,40.41,3.25,0.09,0.04,0.09,0.48,26%,0.84,0.22,0.08,0.15,0.09,1.85,12.05
- - -,,29142515,Tom Smith,ENG,,26,M/AM (C),Bath City,Vanarama National League South,â¬625 p/w,3596,"5'9""",70 kg,-,30/6/2026,,-,,-,0.09,3.42,-,0.98,1.45,1.7,80%,68,0.28,31%,1.45,10.71,10.29,13.21,87%,37.92,2.93,0.15,0.2,0.05,0.78,49%,0.93,0.45,0.09,2.58,0.15,3.42,8.43
- - -,,2000225291,Ralfi Hand,ENG,,19,"DM, M (C)",Eastbourne Borough,Vanarama National League South,â¬525 p/w,2079,"6'0""",75 kg,29/6/2024,30/6/2025,,-,,-,0.06,1.42,-,1.6,1.21,1.77,68%,41,0.43,31%,0.95,14.81,9.7,7.88,87%,45.02,4.03,0.17,0.28,0.04,0.26,16%,0.82,0.13,0.06,-1.42,-,1.42,9.57
- - -,Req,28099485,Dan Pybus,ENG,,26,"DM, M (C)",Dorking,Vanarama National League,â¬700 p/w,4256,"5'10""",71 kg,-,30/6/2026,,-,,-,0.08,3.66,-,1.21,1.23,2.05,72%,97,0.42,31%,1.46,10.26,10.0,8.04,89%,46.33,3.79,0.06,0.11,0.08,0.17,27%,0.70,0.19,0.08,0.34,0.08,3.66,10.21
- - -,,2000033300,Connor Evans,WAL,,20,ST (C),Warrington,Vanarama National League North,â¬450 p/w,3476,"6'0""",70 kg,29/6/2024,30/6/2025,,-,,-,0.34,13.0,-,0.78,0.98,1.27,75%,49,0.08,31%,4.27,5.51,7.51,8.34,84%,20.2,0.67,0.13,0.13,0.10,1.24,40%,1.89,0.75,0.36,0.2,0.36,13.8,7.2
- - -,Req,95038298,Charlie Carter,ENG,,27,M/AM (C),Dorking,Vanarama National League,â¬875 p/w,2986,"6'2""",82 kg,-,30/6/2025,,-,,-,0.21,6.84,-,0.99,1.21,1.18,72%,39,0.27,31%,2.14,12.24,10.64,18.48,86%,28.81,2.02,0.09,0.14,0.09,1.18,31%,1.78,0.54,0.21,-3.84,0.09,6.84,10.49
- - -,,2000166111,Jack Wood,ENG,,21,AM (C),St. Albans,Vanarama National League South,â¬425 p/w,2136,"5'8""",68 kg,29/6/2024,30/6/2025,,-,,-,0.1,2.32,-,0.84,1.52,1.52,78%,36,0.21,31%,1.94,12.77,10.83,16.85,88%,35.31,3.29,0.13,0.07,0.34,0.80,38%,0.55,0.21,0.1,0.68,0.13,2.32,9.1
- - -,,29031132,Jimmy Spencer,ENG,,32,ST (C),Curzon Ashton,Vanarama National League North,â¬450 p/w,4413,"6'1""",79 kg,-,30/6/2025,,-,,-,0.33,15.95,-,0.73,0.69,0.98,72%,48,0.18,31%,4.49,3.81,4.87,5.2,85%,19.33,0.63,0.08,0.05,0.06,0.45,55%,1.77,0.98,0.41,5.06,0.51,19.94,6.46
- - -,,29217122,Elliott Bolton,ENG,,22,"DM, M (C)",Weymouth,Vanarama National League South,â¬525 p/w,3136,"5'3""",53 kg,-,30/6/2025,,-,,-,0.09,3.2,-,1.15,1.52,1.78,78%,62,0.34,31%,1.52,13.12,10.39,9.84,88%,41.79,3.73,0.03,0.11,0.17,0.77,44%,0.92,0.40,0.09,3.8,0.20,3.2,7.49
- - -,,28127279,Ramello Mitchell,ENG,,21,AM (RL),Buxton,Vanarama National League North,â¬750 p/w,4392,"5'10""",65 kg,-,30/6/2024,,-,,-,0.29,14.25,-,1.15,1.86,2.3,85%,112,0.43,30%,3.09,7.11,10.41,12.03,85%,26.84,1.97,0.23,0.24,0.61,2.99,43%,2.42,1.05,0.31,3.96,0.39,15.04,9.9
- - -,,29153889,Connor Kirby,ENG,,25,M (C),Buxton,Vanarama National League North,â¬525 p/w,2387,"5'7""",63 kg,-,30/6/2025,,-,,-,0.07,1.98,-,0.79,1.40,1.96,78%,52,0.41,30%,1.21,7.05,9.16,8.79,86%,39.59,4.0,0.15,0.25,1.77,0.83,25%,1.06,0.26,0.07,-0.98,0.04,1.98,6.26
- - -,,28018322,Frank Nouble,ENG,CIV,32,"AM (L), ST (C)",Yeovil,Vanarama National League South,"â¬1,200 p/w",2918,"6'3""",84 kg,-,30/6/2024,,-,,-,0.2,6.42,-,0.62,0.83,1.23,78%,40,0.22,30%,3.64,1.79,5.71,19.37,88%,19.55,0.49,0.09,0.16,0.06,1.08,43%,2.34,1.02,0.2,5.58,0.37,6.42,4.97
- - -,,29107362,Danny Whitehall,ENG,,28,ST (C),Scunthorpe,Vanarama National League North,"â¬1,400 p/w",2988,"6'3""",71 kg,-,30/6/2025,,-,,-,0.45,15.1,-,0.27,0.99,0.6,71%,20,0.15,30%,4.07,3.86,4.04,6.14,86%,20.39,0.48,0.03,0.07,0.51,0.66,48%,3.46,1.66,0.67,0.75,0.69,22.25,4.64
- - -,,29217479,Lewis Simper,ENG,,22,M (C),Tamworth,Vanarama National League North,"â¬1,200 p/w",2220,"5'9""",69 kg,29/6/2024,30/6/2025,,-,,-,0.15,3.82,-,0.61,1.42,2.23,73%,55,0.36,30%,1.50,7.7,11.92,7.38,87%,35.92,2.55,0.24,0.13,0.24,0.81,43%,1.86,0.81,0.15,-1.82,0.08,3.82,10.7
- - -,,29080291,Tyler Harvey,ENG,,28,"AM (C), ST (C)",Truro,Vanarama National League South,â¬325 p/w,3795,"6'0""",82 kg,-,30/6/2025,,-,,-,0.22,9.13,-,0.85,1.33,1.04,77%,44,0.21,30%,2.61,12.57,8.16,18.07,85%,25.99,1.83,0.17,0.2,0.14,0.88,35%,1.68,0.59,0.22,3.87,0.31,9.13,7.97
- - -,,95031504,Sam Corne,ENG,,27,M (C),Maidstone,Vanarama National League South,â¬575 p/w,1602,"5'7""",64 kg,-,30/6/2024,,-,,-,0.07,1.23,-,1.18,1.40,1.63,76%,29,0.22,30%,1.35,10.62,9.55,8.26,88%,42.13,3.88,0.34,0.24,0.45,0.56,15%,0.73,0.11,0.07,-0.23,0.06,1.23,8.48
- - -,,29156938,Luca Colville,ENG,,25,AM (R),Scarborough Athletic,Vanarama National League North,â¬575 p/w,4307,"6'1""",70 kg,-,30/6/2024,,-,,-,0.3,14.19,-,0.54,1.94,1.99,78%,95,0.40,29%,2.44,8.15,10.66,13.44,85%,30.93,2.78,0.25,0.24,0.48,3.93,50%,2.28,1.13,0.3,7.81,0.46,14.19,15.02
- - -,Wnt,29155387,Joe Re,ENG,,25,"DM, M (C)",Hemel Hempstead,Vanarama National League South,,1439,"5'7""",62 kg,-,-,,-,,-,0.08,1.33,-,1.0,1.88,1.75,70%,28,0.38,29%,1.31,6.32,8.76,12.57,86%,37.59,4.07,0.06,0.06,0.13,1.38,18%,0.69,0.13,0.08,0.67,0.13,1.33,10.13
- - -,,28059684,Elliott Whitehouse,ENG,,30,M (C),Chester,Vanarama National League North,â¬575 p/w,1364,"5'11""",74 kg,-,30/6/2024,,-,,-,0.07,1.01,-,0.59,1.19,3.1,82%,47,0.53,29%,1.12,8.45,10.62,9.24,88%,43.15,5.08,-,0.11,0.33,2.11,21%,1.25,0.26,0.07,0.99,0.13,1.01,9.77
- - -,,2000275749,Ade Adeyemo,ENG,NGA,25,"AM (RL), ST (C)",Welling,Vanarama National League South,â¬575 p/w,1022,"6'0""",78 kg,30/6/2024,30/6/2025,,-,,-,0.09,1.04,-,0.97,1.76,2.38,90%,27,0.44,29%,1.85,3.79,11.98,21.66,86%,26.86,2.82,0.18,0.07,0.97,2.20,44%,0.79,0.35,0.09,0.96,0.18,1.04,12.59
- - -,,29139358,Darren Foxley,ENG,,27,AM (RL),Bishop's Stortford,Vanarama National League North,â¬350 p/w,3851,"5'10""",73 kg,-,30/6/2024,,-,,-,0.14,5.85,-,1.54,1.80,2.36,87%,101,0.51,29%,1.85,7.41,11.4,14.82,83%,25.4,2.34,0.23,0.24,1.92,3.53,37%,1.40,0.51,0.19,-3.22,0.12,8.22,12.18
- - -,Wnt,2000130150,Chibike Okechukwu,NGA,ENG,19,ST (C),Taunton,Vanarama National League South,â¬525 p/w,1716,"5'11""",72 kg,29/6/2024,30/6/2024,,-,,-,0.22,4.23,-,0.79,1.00,0.79,75%,15,0.21,29%,3.09,1.42,6.29,23.55,87%,19.14,0.89,-,0.04,0.05,0.73,43%,1.94,0.84,0.22,-0.23,0.21,4.23,5.14
- - -,,2000201868,Noah Preston-Watkins,WAL,,18,"AM (R), ST (C)",Truro,Vanarama National League South,â¬275 p/w,2073,"5'10""",72 kg,29/6/2024,30/6/2025,,-,,-,0.12,2.78,-,0.61,1.56,1.52,83%,35,0.35,28%,2.30,3.21,8.03,19.75,86%,23.62,1.39,0.04,0.1,0.26,1.69,32%,1.35,0.43,0.12,0.22,0.13,2.78,8.77
- - -,Ctr,29234751,Will Bapaga,ENG,,21,AM (L),Buxton,Vanarama National League North,,1333,"5'9""",65 kg,-,-,,-,,-,0.43,6.31,-,1.42,1.76,2.9,84%,43,0.41,28%,3.58,8.64,12.15,14.04,81%,24.98,1.82,0.27,0.23,0.47,3.58,36%,3.78,1.35,0.43,-3.31,0.20,6.31,11.28
- - -,,2000058334,Ben Acquaye,ENG,GHA,24,AM (L),Tamworth,Vanarama National League North,â¬575 p/w,3871,"5'10""",74 kg,-,30/6/2025,,-,,-,0.19,8.29,-,1.16,1.70,2.56,87%,110,0.37,28%,2.21,7.23,11.65,13.09,87%,25.71,1.67,0.21,0.2,0.63,3.21,45%,2.07,0.93,0.19,-2.29,0.14,8.29,12.39
- - -,,29217667,Will McGowan,ENG,,21,"DM, M/AM (C)",Blyth,Vanarama National League North,â¬525 p/w,3551,"5'7""",77 kg,-,30/6/2025,,-,,-,0.07,2.6,-,0.61,1.42,1.85,79%,73,0.30,28%,0.76,6.51,11.71,7.17,91%,59.33,7.45,0.15,0.14,0.43,1.19,36%,0.84,0.30,0.09,2.6,0.15,3.4,8.62
- - -,,2000042607,Jacob Hamilton,ENG,,19,ST (C),Torquay,Vanarama National League South,â¬350 p/w,2018,"6'1""",77 kg,-,30/6/2025,,-,,-,0.52,11.7,-,0.76,0.58,1.07,73%,24,-,27%,3.12,0.94,5.08,17.79,86%,20.07,0.94,0.04,0.04,0.18,0.67,45%,3.48,1.56,0.52,-3.7,0.36,11.7,4.86
- - -,,29176532,Keaton Ward,ENG,,24,M/AM (C),Boston Utd,Vanarama National League North,â¬400 p/w,2346,"6'0""",71 kg,-,30/6/2025,,-,,-,0.22,5.7,-,0.73,1.07,1.5,81%,39,0.54,27%,1.57,6.52,10.9,9.44,86%,37.17,4.53,0.19,0.24,1.15,1.73,49%,1.73,0.84,0.22,1.3,0.27,5.7,10.17
- - -,,28094022,Alex Wiles,ENG,,27,M (C),Scarborough Athletic,Vanarama National League North,â¬400 p/w,1347,"5'8""",68 kg,-,30/6/2025,,-,,-,0.04,0.58,-,0.94,1.34,2.34,67%,35,0.20,27%,1.27,8.69,11.83,8.49,86%,45.7,6.15,0.13,0.07,0.07,1.00,23%,0.87,0.20,0.04,0.42,0.07,0.58,12.76
- - -,,2000045440,Jakub Niemczyk,POL,ENG,20,"AM (L), ST (C)",Bath City,Vanarama National League South,â¬500 p/w,1115,"5'10""",77 kg,30/6/2024,30/6/2025,,-,,-,0.15,1.85,-,0.81,1.45,1.13,74%,14,0.32,27%,2.10,3.39,7.99,16.14,84%,22.52,2.1,0.08,0.11,0.40,1.94,48%,2.02,0.97,0.15,1.15,0.24,1.85,7.1
- - -,,15070024,Michael Cunningham,ENG,,33,ST (C),Peterborough Sports,Vanarama National League North,â¬500 p/w,1831,"6'0""",79 kg,-,30/6/2024,,-,,-,0.36,7.4,-,0.84,0.79,0.93,79%,19,0.10,27%,4.28,4.47,7.32,7.03,87%,21.77,0.79,0.10,0.05,0.05,0.79,54%,1.82,0.98,0.36,0.6,0.39,7.4,8.06
- - -,Int,29066606,Jacob Hazel,SKN,ENG,30,ST (C),Boston Utd,Vanarama National League North,â¬350 p/w,1553,"5'11""",72 kg,-,30/6/2025,,-,,-,0.32,5.59,-,0.93,0.81,1.22,68%,21,0.12,27%,2.84,4.35,8.06,7.71,89%,21.56,0.99,0.35,0.23,0.52,1.22,36%,2.26,0.81,0.32,-0.59,0.29,5.59,7.88
- - -,,29106995,Tom Lapslie,ENG,,28,"DM, M (C)",Torquay,Vanarama National League South,"â¬1,100 p/w",3468,"5'6""",69 kg,-,30/6/2024,,-,,-,0.14,5.49,-,0.83,1.69,1.92,72%,74,0.39,27%,1.12,17.0,11.47,9.45,85%,38.04,2.8,0.16,0.14,0.08,0.60,41%,1.51,0.62,0.14,3.51,0.23,5.49,8.77
- - -,,28067664,JJ Hooper,ENG,,30,ST (C),Blyth,Vanarama National League North,â¬650 p/w,4817,"6'1""",83 kg,-,30/6/2025,,-,,-,0.44,23.36,-,0.39,0.60,0.52,76%,28,0.09,27%,2.11,3.1,5.77,6.63,90%,25.34,0.65,0.09,0.09,0.19,0.92,48%,2.22,1.06,0.45,3.84,0.52,24.16,3.4
- - -,,28094827,Josh Smile,ENG,,27,"DM, M (C)",Gloucester,Vanarama National League North,â¬300 p/w,3318,"5'6""",71 kg,-,30/6/2024,,-,,-,0.07,2.58,-,1.38,1.33,2.2,79%,81,0.35,27%,1.19,8.11,10.82,8.11,89%,42.69,3.2,0.14,0.17,0.98,1.06,23%,1.08,0.24,0.07,-0.58,0.05,2.58,9.52
- - -,Frt,2000277659,David Ogbonna,ENG,,19,AM (R),Slough,Vanarama National League South,â¬325 p/w,3069,"6'0""",74 kg,-,30/5/2025,,-,,-,0.14,4.84,-,1.23,1.50,1.94,81%,66,0.15,26%,1.52,3.55,9.47,20.73,84%,27.42,2.43,0.12,0.19,0.82,2.73,49%,1.50,0.73,0.14,3.16,0.23,4.84,9.77
- - -,,29072749,Rob Ramshaw,ENG,,30,M/AM (C),Spennymoor,Vanarama National League North,â¬650 p/w,4464,"5'10""",74 kg,-,30/6/2025,,-,,-,0.16,8.02,-,0.97,1.67,1.69,72%,84,0.20,26%,1.96,5.48,9.09,8.25,87%,25.36,1.39,0.20,0.13,0.46,2.30,33%,1.33,0.44,0.16,-1.02,0.14,8.02,15.77
- - -,,2000031615,Fedel Ross-Lang,ENG,JAM,20,M/AM (L),Torquay,Vanarama National League South,â¬700 p/w,4006,"5'8""",65 kg,-,30/6/2025,,-,,-,0.23,10.33,-,1.03,1.57,1.93,78%,86,0.29,26%,1.51,5.26,11.1,13.43,84%,24.65,3.44,0.13,0.28,0.76,2.13,42%,1.62,0.67,0.23,0.67,0.25,10.33,13.52
- - -,Lst,29103880,Danny Elliott,ENG,,28,ST (C),Scunthorpe,Vanarama National League North,â¬675 p/w,1564,"6'0""",75 kg,-,30/6/2025,,-,,-,0.38,6.56,-,0.81,1.32,1.15,87%,20,0.17,26%,2.76,5.81,7.31,10.19,86%,23.36,1.67,0.23,0.17,0.46,2.93,45%,2.82,1.27,0.65,-0.33,0.63,11.33,6.73
- - -,,29165173,Jason Law,ENG,,25,AM (RC),Scunthorpe,Vanarama National League North,â¬700 p/w,2235,"5'11""",70 kg,-,30/6/2025,,-,,-,0.2,4.88,-,0.81,1.21,1.69,81%,42,0.24,26%,2.01,4.91,8.66,9.02,89%,33.14,2.3,0.24,0.11,0.24,2.13,47%,1.21,0.56,0.2,1.12,0.24,4.88,10.35
- - -,,29175036,Dom Tear,ENG,,24,AM (RL),Scarborough Athletic,Vanarama National League North,â¬300 p/w,1439,"5'11""",70 kg,-,30/6/2024,,-,,-,0.3,4.82,-,1.19,1.94,2.56,79%,41,0.06,26%,2.25,8.88,9.57,13.82,86%,30.65,2.5,0.25,0.23,0.75,3.69,34%,2.19,0.75,0.3,-0.82,0.25,4.82,17.51
- - -,,29240152,Euan Williams,NIR,ENG,21,AM (C),Weston-super-Mare,Vanarama National League South,â¬475 p/w,2992,"6'1""",76 kg,29/6/2024,30/6/2024,,-,,-,0.18,6.08,-,0.9,1.44,1.14,78%,38,0.30,26%,2.02,10.92,8.12,17.39,86%,29.03,2.29,0.15,0.11,0.09,1.35,33%,1.62,0.54,0.18,0.92,0.21,6.08,7.34
- - -,,28110963,Jordan Hickey,ENG,,24,M (C),Blyth,Vanarama National League North,â¬400 p/w,3243,"5'10""",84 kg,-,30/6/2024,,-,,-,0.17,6.13,-,1.17,1.67,1.69,81%,61,0.44,26%,0.94,6.3,11.57,9.69,91%,59.47,5.36,0.28,0.18,0.39,1.64,36%,1.53,0.56,0.17,-3.13,0.08,6.13,12.27
- - -,Wnt,29236679,Charlie Caton,WAL,ENG,21,ST (C),Chester,Vanarama National League North,â¬575 p/w,3813,"5'9""",72 kg,-,30/6/2025,,-,,-,0.38,16.2,-,0.21,0.66,1.77,83%,75,0.14,26%,3.85,5.0,5.33,6.61,88%,19.99,0.97,0.14,0.11,0.21,1.01,50%,2.67,1.32,0.38,2.8,0.45,16.2,7.1
- - -,,2000110077,Morgan Williams,WAL,ENG,19,"DM, M/AM (C)",Braintree,Vanarama National League South,â¬300 p/w,3999,"5'8""",63 kg,29/6/2024,30/6/2025,,-,,-,0.24,10.75,-,0.83,1.31,1.8,80%,80,0.14,26%,1.73,13.32,9.05,20.14,83%,28.47,2.12,0.32,0.22,0.34,1.10,37%,2.12,0.79,0.24,0.25,0.25,10.75,9.68
- - -,,2000137628,Ash McCarthy,ENG,,19,AM (L),Eastbourne Borough,Vanarama National League South,â¬400 p/w,2134,"5'9""",66 kg,-,30/6/2025,,-,,-,0.11,2.62,-,0.93,2.11,2.24,91%,53,0.30,26%,1.43,9.19,9.87,18.05,84%,29.69,4.01,0.04,0.06,0.97,1.81,18%,0.72,0.13,0.11,-0.62,0.08,2.62,10.12
- - -,Wnt,29158345,Jordy Mongoy,ENG,,25,AM (R),South Shields,Vanarama National League North,â¬575 p/w,2408,"5'9""",70 kg,-,30/6/2024,,-,,-,0.19,5.02,-,1.57,1.68,1.46,81%,39,0.26,25%,1.72,7.33,12.63,17.53,86%,39.32,3.96,0.22,0.23,1.12,2.95,57%,1.38,0.78,0.19,1.98,0.26,5.02,11.03
- - -,,29176137,Josh Hmami,ENG,,24,M/AM (C),Southport,Vanarama National League North,â¬350 p/w,2193,"5'9""",68 kg,-,30/6/2024,,-,,-,0.15,3.69,-,1.48,1.44,1.31,78%,32,0.25,25%,2.13,5.38,8.08,10.55,83%,26.02,1.4,0.33,0.23,1.81,1.40,29%,1.40,0.41,0.15,1.31,0.21,3.69,11.66
- - -,,89047064,Ollie Pearce,ENG,,28,ST (C),Worthing,Vanarama National League South,â¬700 p/w,3874,"5'6""",64 kg,-,30/6/2026,,-,,-,0.28,12.24,-,0.53,0.74,0.95,67%,41,0.07,25%,2.83,2.46,5.88,14.24,85%,21.07,1.16,0.02,0.1,0.19,0.77,53%,2.39,1.28,0.32,11.17,0.58,13.83,5.34
- - -,,29085989,Ed Williams,ENG,,28,AM (LC),Chippenham,Vanarama National League South,â¬350 p/w,3385,"5'11""",66 kg,-,30/6/2024,,-,,-,0.12,4.58,-,1.04,1.30,1.73,84%,65,0.37,25%,1.65,6.54,9.76,17.57,85%,28.26,1.52,-,0.06,0.24,1.60,38%,0.98,0.37,0.12,0.42,0.13,4.58,11.09
- - -,Lst,90047169,Matt Warburton,ENG,,32,"AM (C), ST (C)",Solihull Moors,Vanarama National League,â¬850 p/w,1544,"5'9""",67 kg,-,30/6/2025,,-,,-,0.25,4.35,-,0.82,1.17,1.22,72%,21,0.23,25%,1.75,6.7,8.04,22.79,80%,24.66,1.63,0.29,0.17,0.41,1.11,36%,2.45,0.87,0.35,-0.94,0.29,5.94,7.58
- - -,,28115640,Danny Cashman,ENG,,23,"AM (C), ST (C)",Worthing,Vanarama National League South,â¬950 p/w,4212,"5'6""",64 kg,-,30/6/2026,,-,,-,0.21,9.63,-,0.92,1.07,1.2,68%,56,0.15,25%,1.56,9.47,9.27,15.49,88%,29.21,1.9,0.24,0.18,0.19,1.37,40%,1.65,0.66,0.21,-4.63,0.11,9.63,10.81
- - -,Opt,28106392,Tyreke Johnson,ENG,,25,AM (L),Chippenham,Vanarama National League South,â¬350 p/w,3399,"5'7""",61 kg,-,30/6/2024,,-,,-,0.13,4.95,-,1.19,1.75,1.69,76%,64,0.58,24%,1.62,4.16,11.09,18.19,86%,28.12,1.8,0.13,0.1,0.79,2.12,36%,1.40,0.50,0.13,-2.95,0.05,4.95,11.76
