Rec,Inf,UID,Name,Personality,Age,Position,Preferred Foot,Height,Min WD,Club,Division,Wage,Expires,Transfer Value,Mins,Cln/90,Con/90,xA/90,xA,Mins/Gl,xG-OP,xG/90,Gls,Conc,Gls/90,NP-xG,NP-xG/90,Pens Saved,Pens Saved Ratio,Red,Saves/90,Aer A/90,Asts/90,Blk/90,Clr/90,Conv %,Crs A/90,Cr C/A,Cr C/90,Distance,Dist/90,Drb/90,xGP/90,xG/shot,xGP,xSv %,Hdrs L/90,Hdrs W/90,Sprints/90,Hdr %,Itc,Int/90,Hdrs,K Hdrs/90,K Pas,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Shots,ShT,Shots Outside Box/90,Shts Blckd,Shts Blckd/90,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck W,Tck/90,Off,Drb,Cr A,Clear,Blk,Hdrs A,Goals Outside Box,Best Pos,Clean Sheets,Sv %,Svh,Svp,Svt
- -  -,,2000210564,Lewis Forshaw,Balanced,19,GK,Right,"6'4""",-,Corby,English Northern Premier League Division One Mids,€40 p/w,30/6/2026,Not for Sale,113,0.00,4.78,0.00,0.00,-,0.00,0.00,0,6,-,0.00,0.00,0,-,0,-,-,-,-,0.00,-,-,-,-,0.0km,0.0km,-,0.00,0.00,0.00,0%,-,-,0.00,-,0,-,-,0.00,0,60%,40,31.86,24,19.12,0.00,0.00,0,0.00,0,0.00,0,0.00,0,-,-,-,-,-,-,-,-,0,-,-,0,0,-,-,-,-,-,GK,0,0%,0,0,0
- -  -,FrA,29218021,Isaac Fletcher,,23,"M (C), ST (C)",Right,"6'4""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
- -  -,Ctr,2000207269,Harvey Fletcher,Balanced,19,"DM, M (C), AM (R)",Left,"5'4""",N/A,Radcliffe,Vanarama National League North,N/A,-,Unknown,571,-,-,0.01,0.09,-,-0.14,0.02,0,-,-,0.14,0.02,-,-,0,-,2.84,-,0.63,2.52,-,0.47,-,0.00,81.6km,12.9km,0.32,-,0.05,-,-,1.10,1.73,6.78,61%,7,1.10,11,0.16,5,87%,260,40.98,226,35.62,6.15,6.62,60,9.46,17,2.68,15,2.36,3,0,0.32,2,0.32,0.00,0%,0.47,77%,31,24,3.78,1,2,3,16,4,18,0,DM,-,-,-,-,-
- -  -,,2000281059,Theo Flanagan,,18,ST (C),Right,"6'0""",-,Hereford,Vanarama National League North,€400 p/w,30/6/2027,Unknown,523,-,-,0.20,1.19,-,-2.37,0.41,0,-,-,2.37,0.41,-,-,0,-,10.15,0.17,-,0.86,-,2.41,14%,0.34,70.9km,12.2km,2.07,-,0.17,-,-,8.78,1.38,8.26,14%,8,1.38,8,0.17,3,90%,135,23.23,121,20.82,6.71,4.47,28,4.82,11,1.89,7,1.20,14,4,1.03,0,0.00,0.69,29%,2.41,100%,6,6,1.03,9,12,14,5,0,59,0,ST (C),-,-,-,-,-
- -  -,,2000288701,George Finney,,19,D (R),Right,"6'1""",-,Guiseley,English Northern Premier League Premier Division,€400 p/w,30/6/2026,Unknown,"2,726",-,-,0.08,2.49,908.67,-0.51,0.12,3,-,0.10,3.51,0.12,-,-,0,-,6.93,-,0.56,1.45,7%,3.83,15%,0.59,365.6km,12.1km,1.12,-,0.09,-,-,2.15,4.79,14.13,69%,62,2.05,145,0.66,26,86%,"1,348",44.50,"1,154",38.10,11.95,13.14,183,6.04,59,1.95,140,4.62,41,9,0.50,15,0.50,0.30,22%,1.35,83%,70,58,1.91,3,34,116,44,17,210,0,D (R),-,-,-,-,-
- -  -,Ama,29159367,Kyle Finn,,27,"M (RL), AM (RLC)",Left Only,"5'10""",-,Caernarfon,JD Cymru Premier,N/A,-,€0,332,-,-,0.21,0.79,332.00,0.43,0.15,1,-,0.27,0.57,0.15,-,-,0,-,6.51,-,0.27,1.08,11%,9.49,12%,1.36,48.5km,13.1km,2.71,-,0.06,-,-,4.34,2.17,12.47,33%,2,0.54,8,0.00,5,84%,132,35.78,111,30.09,18.70,4.34,37,10.03,13,3.52,6,1.63,9,1,0.54,0,0.00,0.27,11%,2.44,60%,10,6,1.63,1,10,35,4,1,24,0,AM (R),-,-,-,-,-
- -  -,Ctr,31042310,Jamie Fielding,Fairly Determined,26,"D (RC), WB (R)",Right,"6'2""","€1,000 p/w",Ramsgate,English Isthmian League South East Division,N/A,-,€0,128,-,-,0.18,0.25,-,-0.17,0.12,0,-,-,0.17,0.12,-,-,0,-,-,-,-,0.00,-,0.00,-,0.00,0.0km,0.0km,-,-,0.09,-,-,-,-,0.00,-,0,-,-,0.00,0,75%,60,42.19,45,31.64,0.00,0.00,0,0.00,0,0.00,0,0.00,2,0,0.00,0,0.00,0.00,0%,1.41,100%,3,3,2.11,0,0,0,0,0,0,0,D (R),-,-,-,-,-
- -  -,,29233758,Billy Fewster,Balanced,22,M/AM (RLC),Right Only,"5'10""","€1,700 p/w",Alfreton,Vanarama National League North,€525 p/w,30/6/2026,€0 - €110K,"2,554",-,-,0.20,5.57,232.18,3.37,0.27,11,-,0.39,7.63,0.27,-,-,0,-,9.02,0.28,0.42,0.92,16%,7.82,9%,0.74,362.3km,12.8km,3.42,-,0.11,-,-,5.07,3.95,9.94,44%,55,1.94,112,0.04,51,82%,901,31.75,737,25.97,14.45,7.40,311,10.96,77,2.71,59,2.08,67,30,0.88,3,0.11,1.06,45%,2.36,81%,69,56,1.97,6,97,222,26,12,256,3,AM (L),-,-,-,-,-
- -  -,,29072753,David Ferguson,Balanced,31,"D (LC), WB/M (L)",Left Only,"5'11""",-,Colwyn Bay,JD Cymru Premier,€425 p/w,30/6/2027,Not for Sale,"2,344",-,-,0.12,3.19,"2,344.00",-0.47,0.06,1,-,0.04,1.47,0.06,-,-,0,-,5.99,0.23,1.38,1.92,13%,2.96,12%,0.35,306.9km,11.8km,0.50,-,0.18,-,-,1.73,4.26,10.14,71%,50,1.92,111,0.27,23,84%,"1,227",47.11,"1,027",39.43,11.48,14.01,184,7.06,51,1.96,147,5.64,8,2,0.08,21,0.81,0.08,25%,0.31,82%,71,58,2.23,2,13,77,50,36,156,0,M (L),-,-,-,-,-
- -  -,Inj,28121761,Rhys Fenlon,Balanced,24,"M (RL), AM (RLC), ST (C)",Right,"5'8""",€550 p/w,Stourbridge,English Southern League Premier Central,N/A,-,€0,"2,386",-,-,0.07,1.93,795.33,0.91,0.08,3,-,0.11,2.09,0.08,-,-,0,-,5.96,0.04,0.23,0.94,14%,5.05,8%,0.45,301.2km,11.4km,1.40,-,0.10,-,-,4.11,1.85,8.26,31%,29,1.09,49,0.04,31,83%,846,31.91,699,26.37,13.99,5.05,249,9.39,58,2.19,66,2.49,21,9,0.34,0,0.00,0.34,43%,0.79,88%,50,44,1.66,7,37,134,25,6,158,1,ST (C),-,-,-,-,-
- -  -,Lst,28100474,Jack Evans,Fairly Professional,27,"DM, M (C)",Right,"6'1""",€550 p/w,Buxton,Vanarama National League North,€300 p/w,30/6/2026,€2K,"2,486",-,-,0.05,1.27,621.50,-0.30,0.16,4,-,0.14,4.30,0.16,-,-,0,-,6.52,0.11,0.43,1.05,13%,0.07,100%,0.04,340.6km,12.3km,0.29,-,0.13,-,-,2.64,3.87,6.26,59%,31,1.12,107,0.47,30,87%,"1,134",41.05,990,35.84,5.65,8.33,189,6.84,52,1.88,86,3.11,32,13,0.22,4,0.14,0.47,41%,1.16,78%,49,38,1.38,0,8,2,29,12,180,0,DM,-,-,-,-,-
- -  -,Ctr,28116913,Kit Elliott,,24,"AM (RLC), ST (C)",Right,"6'1""",-,Coalville,English Southern League Premier Central,N/A,-,Unknown,33,-,-,-,0.04,-,-0.76,-,0,-,-,0.76,-,-,-,0,-,-,-,-,-,-,-,-,-,0.0km,-,-,-,0.13,-,-,-,-,-,-,0,-,-,-,0,53%,40,-,21,-,-,-,0,-,0,-,0,-,6,3,-,0,-,-,50%,-,100%,1,1,-,0,0,0,0,0,0,0,ST (C),-,-,-,-,-
- -  -,,2000258478,Stephen Edmondson,,18,"DM, M (C), AM (LC)",Left,"6'4""",-,Coalville,English Southern League Premier Central,€250 p/w,30/6/2026,Unknown,"2,880",-,-,0.09,2.78,960.00,-2.62,0.18,3,-,0.09,5.62,0.18,-,-,0,-,0.56,0.19,-,0.03,7%,0.00,-,0.00,11.1km,0.3km,-,-,0.13,-,-,0.19,0.38,0.16,67%,2,0.06,12,0.16,1,72%,650,20.31,468,14.62,0.41,0.22,1,0.03,1,0.03,0,0.00,43,12,0.00,0,0.00,0.38,28%,1.34,77%,39,30,0.94,0,0,0,1,0,18,0,M (C),-,-,-,-,-
- -  -,,2000202087,Ethan Eccleston,Fairly Professional,20,"AM (RL), ST (C)",Either,"5'9""",-,Leamington,Vanarama National League North,€725 p/w,30/6/2026,Not for Sale,"2,635",-,-,0.16,4.55,"1,317.50",-0.66,0.09,2,-,0.07,2.66,0.09,-,-,0,-,7.58,0.17,0.34,0.89,8%,2.49,19%,0.51,365.2km,12.5km,2.22,-,0.10,-,-,5.81,1.78,10.18,23%,29,0.99,52,0.00,41,87%,"1,277",43.62,"1,112",37.98,10.42,4.61,257,8.78,69,2.36,134,4.58,26,13,0.24,2,0.07,0.44,50%,0.89,81%,47,38,1.30,8,65,73,26,10,222,0,ST (C),-,-,-,-,-
- -  -,,2000291122,Josh Eccles,Fairly Ambitious,19,D (C),Right,"6'4""",-,Radcliffe,Vanarama National League North,€350 p/w,30/6/2026,€45K - €450K,"2,661",-,-,0.04,1.23,"2,661.00",-0.22,0.04,1,-,0.03,1.22,0.04,-,-,0,-,7.78,0.03,0.44,1.56,6%,0.00,-,0.00,308.2km,10.4km,-,-,0.08,-,-,1.35,6.43,2.60,83%,41,1.39,190,0.91,4,81%,"1,471",49.75,"1,187",40.15,9.67,11.84,37,1.25,12,0.41,109,3.69,16,8,0.07,4,0.14,0.27,50%,0.54,82%,39,32,1.08,0,0,0,46,13,230,0,D (C),-,-,-,-,-
- -  -,,2000047449,Frankie Ealing,Balanced,21,D/M/AM (R),Left,"5'10""",-,Bury,English Northern Premier League Premier Division,€325 p/w,30/6/2026,€4K - €12K,"2,489",-,-,0.07,1.85,414.83,2.58,0.12,6,-,0.22,3.42,0.12,-,-,0,-,6.40,0.07,0.29,1.27,16%,4.88,8%,0.36,344.0km,12.4km,2.97,-,0.09,-,-,5.21,1.19,10.56,19%,48,1.74,33,0.04,40,85%,"1,015",36.70,867,31.35,14.32,5.75,278,10.05,80,2.89,64,2.31,38,9,0.47,0,0.00,0.33,24%,1.37,87%,61,53,1.92,6,82,135,35,8,177,0,M (R),-,-,-,-,-
- -  -,Ctr,2000222767,Kane Draper,,20,GK,Right,"6'0""",-,Cambrian & Clydach,JD Cymru South,€230 p/w,-,€0,"1,804",0.30,1.20,0.00,0.00,-,0.00,0.00,0,24,-,0.00,0.00,0,-,0,-,-,-,-,0.00,-,-,-,-,0.0km,0.0km,-,-0.05,0.00,-0.99,99%,-,-,0.00,-,0,-,-,0.00,0,58%,401,20.01,232,11.57,0.00,0.00,0,0.00,0,0.00,0,0.00,0,-,-,-,-,-,-,-,-,0,-,-,0,0,-,-,-,-,-,GK,6,0%,0,0,0
- -  -,FrA,29191930,Daniel Dodds,,25,D (RC),Right,"5'10""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (R),-,-,-,-,-
- -  -,,2000152724,Callum Dobson,Balanced,22,GK,Right,"6'1""",-,Runcorn Linnets,English Northern Premier League Division One West,€190 p/w,30/6/2026,Not for Sale,12,-,-,-,0.00,-,0.00,-,0,2,-,0.00,-,0,-,0,-,-,-,-,-,-,-,-,-,0.0km,-,-,-,0.00,0.00,0%,-,-,-,-,0,-,-,-,0,70%,20,-,14,-,-,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,0,-,-,0,0,-,-,-,-,-,GK,0,0%,0,0,0
- -  -,Lst,89022002,Brennan Dickenson,,32,"D (L), WB/M/AM (RL)",Left,"6'0""",-,Oldham,Vanarama National League,€900 p/w,30/6/2026,€1K,755,-,-,0.14,1.21,755.00,0.62,0.05,1,-,0.12,0.38,0.05,-,-,0,-,6.20,0.12,0.48,1.55,17%,9.06,11%,0.95,110.3km,13.1km,1.79,-,0.06,-,-,2.62,3.58,12.04,58%,26,3.10,30,0.12,17,85%,265,31.59,225,26.82,20.50,5.48,94,11.21,20,2.38,22,2.62,6,3,0.36,1,0.12,0.36,50%,0.72,89%,19,17,2.03,2,15,76,13,4,52,1,M (L),-,-,-,-,-
- -  -,Inj,29113873,Tyler Denton,Balanced,30,"D (LC), WB (L)",Left Only,"5'9""",-,Canvey Island,English Southern League Division One Central,N/A,-,Unknown,"2,790",-,-,0.08,2.55,"1,395.00",0.13,0.06,2,-,0.06,1.87,0.06,-,-,0,-,0.19,0.13,0.06,0.00,11%,0.16,20%,0.03,12.7km,0.4km,0.03,-,0.10,-,-,0.13,0.06,0.48,33%,1,0.03,2,0.00,2,71%,659,21.26,468,15.10,0.52,0.52,10,0.32,4,0.13,11,0.35,18,3,0.00,0,0.00,0.10,17%,0.58,93%,59,55,1.77,0,1,5,0,2,6,0,D (L),-,-,-,-,-
- -  -,,29233083,Andres De Gracia,Balanced,23,"DM, M (C)",Left,"5'11""",-,Eastbourne Borough,Vanarama National League,€600 p/w,30/6/2027,€9K - €90K,"2,230",-,-,0.17,4.31,-,-0.51,0.02,0,-,-,0.51,0.02,-,-,0,-,4.40,0.20,0.52,1.25,-,3.59,23%,0.32,309.3km,12.5km,0.73,-,0.06,-,-,1.78,2.62,8.84,60%,28,1.13,65,0.16,27,89%,"1,244",50.21,"1,108",44.72,8.84,11.54,227,9.16,50,2.02,99,4.00,8,1,0.12,0,0.00,0.04,13%,0.32,73%,45,33,1.33,1,18,89,31,13,109,0,DM,-,-,-,-,-
- -  -,,2000288700,Luca Davis,,19,D (C),Right,"6'4""",-,Guiseley,English Northern Premier League Premier Division,€350 p/w,30/6/2026,Unknown,"2,612",-,-,0.04,1.19,"2,612.00",-1.62,0.09,1,-,0.03,2.62,0.09,-,-,0,-,9.58,0.03,0.55,1.14,3%,0.21,-,0.00,273.9km,9.4km,0.07,-,0.09,-,-,3.10,6.48,3.93,68%,45,1.55,188,0.96,8,84%,"1,464",50.44,"1,232",42.45,3.10,18.09,85,2.93,26,0.90,96,3.31,29,6,0.17,37,1.27,0.21,21%,1.00,88%,32,28,0.96,1,2,6,33,16,278,0,D (C),-,-,-,-,-
- -  -,FrA,28111513,James Daly,,26,M/AM (L),Left Only,"5'8""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (L),-,-,-,-,-
- -  -,,2002081385,Graeme Dall,Fickle,18,M/AM (R),Right,"5'10""",€900 p/w,Farsley,Vanarama National League North,€400 p/w,30/6/2026,€18K - €55K,"2,330",-,-,0.35,9.17,"1,165.00",-1.35,0.13,2,-,0.08,3.35,0.13,-,-,0,-,6.53,0.39,0.46,1.51,5%,10.82,13%,1.55,349.6km,13.5km,2.32,-,0.08,-,-,4.33,2.20,17.85,34%,56,2.16,57,0.08,60,83%,874,33.76,728,28.12,14.33,8.92,318,12.28,95,3.67,124,4.79,44,9,1.04,8,0.31,0.35,20%,1.70,75%,61,46,1.78,3,60,280,39,12,169,1,M (R),-,-,-,-,-
- -  -,,2000211139,Sandro Da Costa,,22,"M (R), AM (RL)",Right,"5'7""",-,Ilkeston,English Southern League Premier Central,€250 p/w,30/6/2026,Unknown,"2,685",-,-,0.11,3.31,537.00,2.90,0.07,5,-,0.17,2.10,0.07,-,-,0,-,6.44,0.07,0.40,1.01,16%,5.33,7%,0.47,336.7km,11.3km,2.21,-,0.07,-,-,5.26,1.17,9.42,18%,46,1.54,35,0.10,37,85%,954,31.98,808,27.08,19.31,5.50,310,10.39,87,2.92,50,1.68,31,17,0.27,0,0.00,0.57,55%,1.04,93%,74,69,2.31,7,66,159,30,12,192,1,AM (R),-,-,-,-,-
- -  -,FrA,29162659,Mitchell Curry,Balanced,26,"AM (RL), ST (C)",Right,"5'10""",€550 p/w,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ST (C),-,-,-,-,-
- -  -,,29129055,Greg Cundle,,28,ST (C),Right,"6'0""",-,Oxford City,Vanarama National League North,€400 p/w,30/6/2026,Unknown,80,-,-,0.02,0.02,80.00,0.13,0.98,1,-,1.12,0.87,0.98,-,-,0,-,10.12,-,-,0.00,100%,0.00,-,0.00,12.9km,0.0km,-,-,0.87,-,-,10.12,0.00,7.88,0%,1,1.12,0,0.00,1,90%,20,22.50,18,20.25,3.38,6.75,7,7.88,0,0.00,0,0.00,1,1,0.00,0,0.00,1.12,100%,1.12,100%,2,2,2.25,0,0,0,0,0,9,0,ST (C),-,-,-,-,-
- -  -,Wnt,29136229,Adam Crookes,,28,D (LC),Left Only,"6'0""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (C),-,-,-,-,-
- -  -,,28059728,Peter Crook,Fairly Professional,31,GK,Right Only,"6'3""","€1,200 p/w",Peterborough Sports,Vanarama National League North,€650 p/w,30/6/2026,€0 - €18K,"3,240",0.14,1.78,0.03,1.21,-,0.00,0.00,0,64,-,0.00,0.00,1,20%,0,3,-,0.06,-,11.25,-,-,-,-,156.1km,4.3km,-,-0.51,0.00,-18.24,84%,-,-,0.14,-,11,0.31,-,0.00,4,35%,672,18.67,238,6.61,15.31,6.58,0,0.00,0,0.00,50,1.39,0,-,-,-,-,-,-,-,20%,5,1,0.03,0,0,-,-,-,-,-,GK,5,67%,49,41,23
- -  -,,29217229,Finn Cousin-Dawson,Balanced,23,D (RC),Right Only,"6'2""","€1,000 p/w",Spennymoor,Vanarama National League North,€375 p/w,30/6/2026,€16K - €45K,"1,284",-,-,0.03,0.37,-,-1.13,0.08,0,-,-,1.13,0.08,-,-,0,-,10.51,-,0.56,1.89,-,1.40,5%,0.07,173.6km,12.2km,0.28,-,0.09,-,-,2.87,7.64,8.34,73%,31,2.17,109,0.91,7,84%,748,52.43,632,44.30,10.44,15.91,59,4.14,21,1.47,60,4.21,13,1,0.14,7,0.49,0.07,8%,0.91,86%,35,30,2.10,0,4,20,27,8,150,0,D (C),-,-,-,-,-
- -  -,Wnt,28127358,Kai Corbett,,23,AM (R),Right,"5'9""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (R),-,-,-,-,-
- -  -,Wnt,29236202,George Cooper,,23,D (C),Right Only,"6'2""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (C),-,-,-,-,-
- -  -,FrA,29180837,Ryan Cooney,,25,"D (RL), WB (R)",Right,"5'10""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (R),-,-,-,-,-
- -  -,,2000284955,Jacob Cook,,20,ST (C),Right Only,"5'9""",-,Bamber Bridge,English Northern Premier League Premier Division,€80 p/w,30/6/2026,Unknown,482,-,-,0.03,0.15,160.67,0.47,0.47,3,-,0.56,2.53,0.47,-,-,0,-,3.73,-,-,0.00,14%,0.00,-,0.00,19.6km,3.7km,-,-,0.12,-,-,3.36,0.37,1.68,10%,2,0.37,2,0.00,1,62%,204,38.09,127,23.71,6.91,0.00,9,1.68,0,0.00,1,0.19,21,7,0.00,0,0.00,1.31,33%,3.92,58%,12,7,1.31,0,0,0,0,0,20,0,ST (C),-,-,-,-,-
- -  -,FrA,29156938,Luca Colville,Fairly Professional,26,"M (R), AM (RC), ST (C)",Left Only,"6'1""",€700 p/w,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (R),-,-,-,-,-
- -  -,Ctr,29156848,Callum Cockerill-Mollett,,27,D/WB (L),Left,"5'10""",-,Coalville,English Southern League Premier Central,N/A,-,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (L),-,-,-,-,-
- -  -,FrA,29223278,Kieran Coates,,24,D/WB (R),Right Only,"5'10""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (R),-,-,-,-,-
- -  -,Ctr,31034672,Kyran Clements,Balanced,28,D (C),Right Only,"6'1""",-,Enfield Town,English Isthmian League Premier Division,N/A,-,€0,270,-,-,0.11,0.32,-,-0.23,0.08,0,-,-,0.23,0.08,-,-,0,-,10.00,-,0.67,1.67,-,0.00,-,0.00,32.0km,10.7km,0.33,-,0.12,-,-,2.00,8.00,5.00,80%,6,2.00,24,0.33,1,78%,162,54.00,127,42.33,2.67,14.67,10,3.33,4,1.33,14,4.67,2,1,0.33,0,0.00,0.33,50%,0.67,67%,6,4,1.33,0,1,0,5,2,30,0,D (C),-,-,-,-,-
- -  -,,2000199182,Stafford Clarke,Balanced,20,"DM, M (C)",Right,"6'2""",€475 p/w,Curzon Ashton,Vanarama National League North,€160 p/w,30/6/2026,€0 - €6K,"2,615",-,-,0.04,1.13,"2,615.00",0.21,0.03,1,-,0.03,0.79,0.03,-,-,0,-,4.61,0.03,0.17,1.72,5%,0.34,30%,0.10,365.4km,12.6km,0.28,-,0.04,-,-,2.31,2.31,6.33,50%,49,1.69,67,0.10,20,88%,"1,611",55.45,"1,418",48.80,8.05,10.08,306,10.53,81,2.79,130,4.47,22,6,0.76,2,0.07,0.21,27%,0.76,72%,103,74,2.55,2,8,10,50,5,134,1,M (C),-,-,-,-,-
- -  -,Wnt,29233757,Jimiel Chikukwa,,22,"AM (R), ST (C)",Right,"5'8""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (R),-,-,-,-,-
- -  -,,2000187646,Jaedyn Chibanga,,20,M/AM (RL),Right,"5'5""",-,Haverfordwest,JD Cymru Premier,€120 p/w,30/6/2027,Unknown,927,-,-,0.15,1.57,185.40,3.23,0.17,5,-,0.49,1.77,0.17,-,-,0,-,6.70,0.10,0.39,1.17,21%,4.66,18%,0.87,127.3km,12.4km,2.91,-,0.07,-,-,5.34,1.36,10.97,20%,13,1.26,14,0.00,8,83%,327,31.75,273,26.50,22.04,3.30,108,10.49,31,3.01,16,1.55,24,10,0.68,0,0.00,0.97,42%,2.33,69%,26,18,1.75,4,30,48,12,4,69,0,AM (R),-,-,-,-,-
- -  -,,29219102,Ken Charles,Balanced,25,"AM (RL), ST (C)",Left Only,"6'0""",-,Banbury,Vanarama National League North,€425 p/w,30/6/2026,€0 - €45K,"2,898",-,-,0.18,5.69,161.00,-1.25,0.60,18,-,0.56,12.91,0.40,-,-,0,-,14.01,0.22,0.25,0.84,17%,4.72,8%,0.68,388.5km,12.1km,1.15,-,0.19,-,-,7.05,6.96,7.86,50%,43,1.34,224,0.03,53,83%,958,29.75,799,24.81,10.16,6.58,212,6.58,50,1.55,35,1.09,103,43,0.90,2,0.06,1.34,42%,3.20,76%,68,52,1.61,21,37,152,27,8,451,0,ST (C),-,-,-,-,-
- -  -,Loa,2000108847,Llyton Chapman,Balanced,20,D/M (C),Right,"6'0""",€350 p/w,Oldham,Vanarama National League,€350 p/w,30/6/2026,€500 - €4.5K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (C),-,-,-,-,-
- -  -,Inj,2000300261,Cam Chambers,Balanced,20,D/WB (R),Right Only,"5'9""",N/A,Stalybridge,English Northern Premier League Division One West,€50 p/w,30/6/2026,€0,727,-,-,0.16,1.30,-,0.00,0.00,0,-,-,0.00,0.00,-,-,0,-,-,-,-,0.00,-,0.00,-,0.00,0.0km,0.0km,-,-,0.00,-,-,-,-,0.00,-,0,-,-,0.00,0,73%,260,32.19,191,23.65,0.00,0.00,0,0.00,0,0.00,0,0.00,0,-,0.00,0,0.00,-,-,-,97%,29,28,3.47,0,0,0,0,0,0,0,D (R),-,-,-,-,-
- -  -,,2000283792,TJ Carroll,,18,M/AM (C),Right,"6'4""",-,Billericay,Vanarama National League North,€350 p/w,30/6/2026,€0 - €30K,"1,343",-,-,0.07,1.03,-,-1.28,0.09,0,-,-,1.28,0.09,-,-,0,-,4.76,0.07,0.34,1.41,-,1.01,28%,0.13,182.6km,12.2km,0.47,-,0.09,-,-,2.01,2.75,9.52,58%,38,2.55,41,0.47,11,82%,835,55.96,683,45.77,14.01,10.66,193,12.93,46,3.08,60,4.02,15,4,0.40,2,0.13,0.27,27%,1.01,73%,37,27,1.81,2,7,15,21,5,71,0,M (C),-,-,-,-,-
